Id,English,Hindi
6531,Estate,"ज़मीन, भू संपत्ति, भूमि"
6532,Esteem,"सराहना, प्रशंसा, सम्मान करना, आदर"
6533,Esthete,"सौन्दर्यवादी, सौन्दर्य-संवेदी, सौंदर्योपासक"
6534,Esthetically,सौंदर्यपरकता से
6535,Esthetic,"सौंदर्य-संबंद्धी, सुरूचिपूर्ण, कलात्मक"
6536,Esthetics,सौंदर्यशास्त्र
6537,Estimate,"अनुमान, आँकना, आकलन करना, आकलन"
6538,Estimation,"अनुमान, आकलन, विचार"
6539,Et al,और अन्य
6540,Et cetera,आदि
6541,Etc,आदि
6542,Eternal,"चिरस्थायी, शाश्वत, निरन्तर"
6543,Eternal verity,मूल नैतिक सिद्धान्त
6544,Eternity,"अनन्तकाल, अमरत्व, अनंत काल"
6545,Ethanol,एथनॉल
6546,Ether,"ईथर, आकाश, वायु"
6547,Ethical drug,निर्धारित औषधि
6548,Ethic,"आचार-विचार, नीतिशास्त्र, सदाचार"
6549,Ethics,"नीतिशास्त्र, नीति"
6550,Ethnic cleansing,जातीय सफ़ाया
6551,Ethnic,"मानवजातीय, राष्ट्र-संबंधी, प्रजातीय, नस्ली, सजातीय"
6552,Ethyl alcohol,एथिल अल्कोहोल
6553,Etiquette,शिष्टाचार
6554,Etymolgy,व्युत्पत्ति विज्ञान
6555,Eucalyptus,यूकेलिप्टस
6556,Eucharist,परम प्रसाद
6557,Eugenicist,सुजननिकशास्त्री
6558,Eugenist,सुजननिकशास्त्री
6559,Eulogise,प्रशंसा करना
6560,Eulogize,प्रशंसा करना
6561,Euro election,यूरोपीयन पार्लिअमेंट-सदस्य चुनाव
6562,European,"यूरोपीय संघ का समर्थक, यूरोपीय, यूरोपवासी"
6563,Europe,"यूरोप, यूरोप"
6564,Evaluation,मूल्यांकन
6565,Evangelise,सुसमाचार का प्रचार करना
6566,Evangelist,"ईसाई मत प्रचारक, सुसमाचार लेखक"
6567,Evangelize,सुसमाचार का प्रचार करना
6568,Evaporated milk,वाष्पित दूध
6569,Evasion,"बहाना, भागना"
6570,Even,"भी, यहाँ तक की, और भी, समतल करना, चौरस, बराबर, शान्त, सम, सम, ठीक इतना ही, केवल, बराबर करना, समतल करना, समान, ठीक, सम"
6571,Even as,जैसे ही
6572,Even handed,निष्पक्ष
6573,Even if,"भी, भले ही"
6574,Evening,"संध्या, शाम, संध्या, सायांकालअ, अंत समय, जीवन-साँया, शुकर, संध्या, साँझ"
6575,Evening class,सन्ध्या-वर्ग
6576,Evening dress,सायंकालिन पोशाक
6577,Evening paper,सायंकालीन अखबार
6578,Even less,की बात तो दूर
6579,Even money,दाँव पर लगी सम संख्या
6580,Even now,"अब भी, इस समय"
6581,Even out,"वितरित करना, स्थिर होना, बराबर होना"
6582,Evens,दाँव पर लगी सम संख्या
6583,Even so,"तब भी, फिर भी"
6584,Even then,"अब भी, उस समय"
6585,Even though,भले ही
6586,Event,"घटना, प्रतियोगिता, कार्यक्रम, घटना, घटना"
6587,Eventually,"आखिरकार, अंततोगत्वा, अंततः"
6588,Even up,व्यवस्थित होना
6589,Ever,"हमेसा, सदैव, हमेशा, कभी, कभी, निरन्तर, कदापि"
6590,Everlasting,"शाश्वत, चिरस्थायी"
6591,Evermore,हमेशा
6592,Ever more,बहुत अधिक
6593,Ever since,"जब से, तब से"
6594,Ever so,अत्यधिक
6595,Ever such,अत्यधिक
6596,Ever widening,हरदम बढ़ता
6597,Everybody,"हर कोई, सभ लोग, प्रत्येक व्यक्ति"
6598,Every day,हर दिन
6599,Every,"हर, कुल, प्रत्येक, हर"
6600,Every inch,"कोना-कोना, पूर्णतया"
6601,Every last,सब
6602,Everyone,"प्रतैक व्यक्ति, सब, हर एक, हर एक, प्रतैक, हर कोई"
6603,Every other,"हर एक, हर दूसरा"
6604,Ever yours,सदैव आपका
6605,Everything,"प्रत्येक, सब, सारा"
6606,Every time,"जब भी, हर समय"
6607,Everywhere,"हर जगह, हर जगह, सभी जगह, हर जगह, हर जगाह"
6608,Evidence,"साक्ष्य, साबित करना, प्रमाण"
6609,Evident,स्पष्ट
6610,Evidently,स्पष्ट रूप से
6611,Evil,"दुष्ट, खराब, बुरा, दुष्टता, बुराई, गंदा, अशुभ, बुराई, पाप"
6612,Evil genius,दुर्देव
6613,Evolution,"विकास, क्रमिक विकास"
6614,Evolve,"विकसित होना, विकसित करना"
6615,Ewe,"भेड़, भेड़ी"
6616,Exact,"वसूल करना, सही, एकदम सही, लेना, सही, वसुल करना, ठोस, चौकस, सतर्क, ठीक ठीक, सही, यथार्थ, पक्का, सही, सही"
6617,Exactly,वास्तव में
6618,Exaggerate,बढा-चढा कर कहना
6619,Exaggeration,"अतिशयोक्तिपूर्ण कथन, अतिशयोक्ति"
6620,Exam,परीक्षा
6621,Examination,"परीक्षा, परीक्षण, परीक्षण, ज्ँआच पड़ताल, जाँच, तहकीकात, खोज"
6622,Examine,"परीक्षण करना, परीक्षा लेना, जाँच पड़ताल करना, समझना, जां़च करना, जाँच पड़ताल करना, जाँच करना, परखना, छान-बीन करना, परीक्षा लेना, जाँछ पड़ताल करना, पूछ-ताछ करना, परीक्षण करना, जाँच करना, समझना, पूछ-ताछ करना, छानबीन करना, ज्ँआछ पड़ताल करना, पूछ-ताछ करना, परीक्षण करना, जाँच करना, पूछ-ताछ करना, पूछ-ताछ करना"
6623,Example,"उदाहरण, नमूना"
6624,Excavation,"उत्खनन-स्थल, खुदाई"
6625,Excavator,"उत्खनक, खनित्र"
6626,Exceed,"अधिक होना, अतिक्रमण करना, से अधिक होना, पार कर जाना"
6627,Excel,श्रेष्ठतरअना
6628,Excellence,"श्रेष्ठता, विशिष्टता"
6629,Excellent,"श्रेष्ठ, अनोखा, श्रेष्ठ, उत्कृष्टता, उत्कृष्ट, अनोखा, बढ़िया, अच्छा, उत्तम"
6630,Except for,को छोड़कर
6631,Except,"छोड़ देना, छोड़ना, को छोड़कर, छोड़ना"
6632,Exceptional,"विशिष्ट, असामान्य, आश्चर्यजनक, असाधारण, विशेष"
6633,Exception,अपवाद
6634,Excess baggage,महसूल की छूट से अधिक सामान
6635,Excessive,अत्यधिकआ
6636,Excess luggage,महसूल की छूट से अधिक सामान
6637,Excess postage,अतिरिक्त डाक भार
6638,Exchange,"आदान-प्रदान करना, लेन देन करना, अदला बदली करना, विनिमय करना, लेन-देन करना, बदल देना, लेन-देन, अदला बदल, अदला बदली, केन्द्र, विनिमय, आदान प्रदान करना, अदला बदली करना, बिजली का केन्द्र, विनिमय, लेन देन करना, अदला-बदली करना"
6639,Exchequer,"अर्थविभाग, राजकोष"
6640,Excitation,"उत्तेजन, उद्दीपन, उत्तेजना"
6641,Excited,"उत्तेजित, उतेजित"
6642,Excite,"उत्तेजित करना, उत्तेजित करना, जाग्रित करना, खुश करना, क्रोध दिलाना, ताव दिलाना, सक्रिय बनाना"
6643,Excitement,उत्तेजना
6644,Exciting,रोमांचक
6645,Exclaim at,पर आश्चर्य प्रकट करना
6646,Exclaim,चिल्लाकर कहना
6647,Exclamation,"विस्मयसूच्हक, विस्मयादिबोधक"
6648,Exclamation mark,विस्मयादि बोधक चिन्ह
6649,Exclude,"छोड़ना, निकालना"
6650,Exclusiveness,अनयता
6651,Exclusivity,अनयता
6652,Excretion,"मल, उत्सर्जन, मलोत्सर्जन"
6653,Excursion,सैर
6654,Excuse,"क्षमा करना, माफ करना, बहाना, माफी, बहाना, के नाम पर कलंक, घटिया नमूना, छुटकारा पाना, मुक्ति पाना, छुटकारा देना, मुक्त करना, माफ करना, मुक्ती देना, माफी की वजह, मुक्ति"
6655,Excuse me,क्षमा करें
6656,Excuse me?,कृपया फिर से दोहराइए
6657,Ex directory,एक्स-डिरेक्टरी
6658,Execute,"संचालन करना, फाँसी देना, पूरा करना"
6659,Execution,"कार्यान्वयन, फाँसी"
6660,Executive,"अधिशासी, कार्यकारिणी, विशेष, प्रबंधक, कार्यकारिणी, कार्यकारिणी"
6661,Executive line,कार्यकारिणी रेखा
6662,Executor,निष्पादक
6663,Exemplar,आदर्श्
6664,Exempt,"मुक्त, मुक्त करना"
6665,Exercise,"व्यायाम करवाना, कसरत, व्यायाम, अनुशासन देना, कवायद करना, इस्तेमाल करना, शिक्षा देना, व्यायाम करना, प्रशिक्षण देना, प्रयोग करना, इस्तेमाल, बरतना, अभ्यास, शिक्षा देना"
6666,Ex gratia,अनुग्रहि
6667,Exhaust,"खत्म कर डालना, बुरी तरह थका देना, निकास, खाली कर डालना, पूर्ण वर्णन करना"
6668,Exhibit,"दिखाना, प्रदर्शित करना, सबूत, प्रदर्शित वस्तु, प्रदर्शित वस्तु, प्रदर्शनी"
6669,Exhibition,"प्रदर्शनी, प्रदरशनी"
6670,Exhibitionism,"आत्मप्रदर्शन, कामांगप्रदर्शन"
6671,Exhibitor,प्रदर्शक
6672,Exibit,"प्रदर्शित वस्तु, दिखाना, वस्तु, प्रदर्शित करना, प्रदर्शनी"
6673,Exibition,"प्रदर्शन, प्रदर्शनी"
6674,Exist,"अस्तित्व होना, निर्वाह करना, गुज़ारा करना,  होना, रहना, अस्तित्व होना, ज़िन्दा होना, अस्तित्व होना"
6675,Existence,"अस्तित्व, अस्तित्व, मौजूदगी, अस्तित्व, अतिजीविता, जीवन"
6676,Existentialism,अस्तित्ववाद
6677,Existent,"अस्तित्वात्मक, विद्यमान, वर्तमान, अस्तित्व"
6678,Existing,"वर्तमान, मौजूदा, वर्तमान"
6679,Exit,"मर जाना, निकास-द्वार, मंच छोड़ना, बहिर्पथ, बाहर चला जाना, प्रस्थान"
6680,Exit poll,एग्जिट पोल
6681,Ex officio,पदेन
6682,Exorcise,"भगाना, निकालना"
6683,Exorcism,झाड़-फूँक
6684,Exorcize,"भगाना, निकालना"
6685,Exotic dancer,कपड़े उतारते हुए नृत्य करने वाला
6686,Expand,"खुलना, बढना, फैलना, विस्तार करना, विकसीत होना"
6687,Expanding,"विस्तारशील, प्रसरणशील, विस्तार"
6688,Expand on,विस्तार करना
6689,Expansion,विस्तार
6690,Expatiate on,"विस्तृत रुप से लिखना, विस्तृत रुप से कहना"
6691,Expatiate upon,विस्तृत रुप से लिखना
6692,Expect,"आशा करना, उम्मीद करना, कबुल करना, उम्मीद रखना, आसरा देखना, राह देखना, आशा करना, उम्मीद करना, उम्मीद करना"
6693,Expectation,"कफोत्सारक, उम्मीद"
6694,Expected,अपेक्षित
6695,Expect of,"आशा करना, विश्वास रख् करना"
6696,Expedition,"अभियान, अभियान दल"
6697,Expel,"निकाल बाहर करना, निष्कासित करना, निकालना"
6698,Expenditure,"व्यय, खर्च"
6699,Expense account,व्यय लेखा
6700,Expense,खर्च
6701,Expensive,"क़ीमती, महँगा, क़ीमती, बहुमूल्य"
6702,Experience,"अनुभूति, अनुभव, अनुभव, तज़ुर्बा, अनुभव"
6703,Experienced,अनुभवी
6704,Experimental,प्रायोगिक
6705,Experimenter,प्रयोगकर्ता
6706,Experiment,"परीक्षण करना, प्रयोग करना, प्रयोग"
6707,Expert,"निपुण, दक्ष, विशेषज्ञ"
6708,Expertise,दक्षता
6709,Expert system,एक्सपर्ट सिस्टीम
6710,Expiration,"निःश्वसन, मृत्यु, समाप्ति"
6711,Expire,"मर जाना, स्वर्गवास होना, समाप्त होना"
6712,Expiry,समाप्ति
6713,Explain,"बताना, समजाना, बताना, बताना, समजाना, बताना, बताना, वरण करना, विवरण देना, ब्योरा देना, स्पष्ट होना"
6714,Explain away,समझाना
6715,Explanation,"स्पष्टीकरण, व्याख्या, सफ़ाई"
6716,Explicit,"सुनिश्चित, सुस्पष्ट, सुस्पष्ट"
6717,Explode,"विस्फोट करना, नष्ट करना, बडाना, बताना, भडक जाना, विस्फोट करना, बडना, भडक जाना, विस्फोट होना, फट जाना, विस्फोटित होना"
6718,Exploitation,"उपयोग, दोहन, शोषण"
6719,Exploitative,शोरक
6720,Exploit,"कारनामा, शोषण करना"
6721,Exploitive,शोरक
6722,Exploration,खोज
6723,Explore,"छान-बीन करना, खोज करना, अन्वेषण करना"
6724,Explosion,"विस्फोट, धमाका, धमाका, भड़ाका, धमाका"
6725,Explosive,"विस्फोटक, विस्फोटक पदार्थ, विदारणशील पदाष्थ, विस्फोटक, बारूद"
6726,Exponential,"चरघातांकी, घातांकी"
6727,Exponent,"समर्थक, प्रतिपादक, हिमायती, घातांक"
6728,Export,"निर्यात, निर्यात करना"
6729,Exporter,निर्यातक
6730,Expose,"दिखाना, डालना, सुगम्य बनाना, रोशनी लगने देना, प्रदर्शित करना, प्रकट करना"
6731,Exposure,"अरक्षितता, एक्स्पोजर, अनावरण, प्रदर्शन, रहस्योद्घाटन, दिशा"
6732,Express,"अभिव्यक्त करना, दर्शाना, द्रुत डाक, प्रकट करना, तेज़ी से, स्पष्ट, एक्सप्रेस, बताना, निचोड़ना, दबा कर निकालना, व्यक्त करना, व्यक्त करना, तुरंत, ठीक-ठीक, तेज़ी से, जल्द्, अभिव्यक्त करना, एक्सप्रेस, प्रकट करना, तुरंत, प्रकट करना, ख़ास"
6733,Expression,"अभिव्यक्ति, अनुसरण, रूख, बाव, ईशारा, अभिव्यक्ति, हाव भाव, ढंग, अभिव्यक्ति, भाव, अभिव्यक्ति"
6734,Expressionism,अभिव्यंजनावाद
6735,Expressway,"द्रुतमार्ग, चौड़ा रास्ता"
6736,Expropriate,"सम्पत्ति हरण कर लेना, स्वत्वहरण करना"
6737,Ex serviceman,"सेवानिवृत्त सैनिक, भूतपूर्व सैनिक"
6738,Ex servicewoman,भूतपूर्व सैनिक
6739,Extemporisation,आशु रचना
6740,Extemporise,"बिना तैयारी के बोलना, बिना तैयारी के प्रस्तुत करना"
6741,Extemporization,आशु रचना
6742,Extemporize,"बिना तैयारी के बोलना, बिना तैयारी के प्रस्तुत करना"
6743,Extended family,विस्तृत परिवार
6744,Extend,"फैलाना, विस्तृत होना, फैलना, देना, बढ़ाना"
6745,Extension,"विस्तार, उपभवन, उपगृह, फैलाव, अतिरिक्त समय, अतिरिक्त कमरा, विस्तार"
6746,Extension lead,एक्सटेन्शन लीड
6747,Extensive,"व्यापक, विस्तृत, बहुत बड़ा"
6748,Extent,हद
6749,External,"बाहरी, बाह्य"
6750,Externalise,मूर्त रूप में प्रकट होना
6751,Externalize,मूर्त रूप में प्रकट होना
6752,Extinguisher,अग्नि-शामक
6753,Extinguish,"बुझा देना, नष्ट करना"
6754,Extract,"अवतरण, निकालना, सार, उद्धरण देना"
6755,Extractor fan,निष्कर्षक
6756,Extractor,निष्कर्षक
6757,Extra,"छोटा कलाकार, अतिरिक्त"
6758,Extraordinary,असाधारण
6759,Extra time,अतिरिक्त समय
6760,Extravagance,फ़िज़ूलखर्ची
6761,Extravagantly,"खर्चीले ढंग से, बहुत अधिक"
6762,Extreme,"उगरअ, तीव्र, प्रच्ंअड, बहुत, अतिशय, सख्त, सख्त, कड़ा, चरम, समशीतोष्ण, दूर, दूरतम, कड़ा, चरम"
6763,Extremely,बहुत ही
6764,Extremity,"अग्रांग, सिरा, पराकाष्ठा, चरम सीमा, छोर"
6765,Eye,"आँख, आँख, चश्मा, आँख, पुतली, आँख, छेद, नोका, देखना, ध्यन से देखना, नेत्र, नज़र, निगाह, देखना, नज़र रखना"
6766,Eyeball,आँख की पुतली
6767,Eyebrow,भौंह
6768,Eye catching,ध्यान आकर्षित करने वाला
6769,Eyeglass,"एक्चश्मी ऐनक, लेन्स"
6770,Eyelash,बरौनी
6771,Eyelet,सुराख
6772,Eye level,आँख के बराबर
6773,Eyelid,"पलक, दृष्टिपत"
6774,Eyeliner,आई लाइनर
6775,Eye liner,आई-लाइनर
6776,Eye opener,आंख खोलने वाली बात
6777,Eyepiece,नेत्रिका
6778,Eye shadow,आइ-शैडो
6779,Eyesore,घृणित वस्तु
6780,Eyestrain,नेत्रावसाद
6781,Eye tooth,अक्षिदंत
6782,Eye up,देखना
6783,Eyewash,ढकोसला
6784,Eyewitness,चश्मदीद गवाह
6785,Fabric,"संरचना, ढांचा, कपड़ा"
6786,Face,"सामना करना, चेहरा, शक्ल, प्रत्यक्ष मूल्य, डायल, चेहरा, फलक, तल, अग्रभाग, अग्र भाग, बाह्य अर्थ, फृष्ठ, पहलू, अंकित मूल्य, डायल, ताश के पत्ते का अंकित भाग, मोहरा, सामना करना, सामना करना, डटकर सामना करना, का़लर-कफ लगाना, सामने होना, अक्षरशैली, पक्ष, छोर, सीरा, पृष्ठ, घुमना, घुमाना, मुकाबला करना, फलक, फलक, चेहरा, सूरत, भाग, तरफ, बाहरि भाग, रूपचित्र, मुखमंडल, चेहरा, हावभाव, सामने होना, सामना करना, चेहरा, सूरत, चेहरा"
6787,Face card,ताश का चित्र वाला पत्ता
6788,Face cloth,चेहरा पोंछने का कपड़ा
6789,Face cream,चेहरे पर लगाने वाली क्रीम
6790,Face lift,"बाह्यरूप संस्कार, मुख उपचार"
6791,Face pack,फेस पैक
6792,Face powder,फेस पाउडर
6793,Face saving,लाज रखने वाला
6794,Facet,"फलिका, पहलू"
6795,Face up,निभाना
6796,Face value,अंकित मूल्य
6797,Facilitate,"सरल बनाना, सुगम बनाना"
6798,Facilitation,"सरलीकरण, फ़ेसिलिटेशन"
6799,Facilitator,सरलीकृत करने वाला
6800,Facilities,"सुविधा, सुविधाएं"
6801,Facility,"निपुणता, कौशल, दक्षता, सुविधा"
6802,Facing,"पलस्तर, अस्तर, कॉलर और कफ़"
6803,Facsimile,"फ़ैक्स, प्रतिकृति"
6804,Fact finding,तथ्यान्वेषी
6805,Fact,"तथ्य, सत्य, तत्व, वास्तविकता, वस्तविकता, असलीयत, तथ्य, तत्व"
6806,Factorial,क्रमगुणित
6807,Factor,"गुणन खंड, कारण, तत्त्व, कारक, घटक"
6808,Factory farm,पशु पालन केंद्र
6809,Factory farming,पशु पालन
6810,Factory,"कार्खाना, कारखाना, निर्माणशाला, फैक्टरी"
6811,Fact sheet,जानकारी-पत्र
6812,Faculty,"शक्ति, प्राध्यापक, संकाय, क्षमता"
6813,Fade away,"मरना, कम होना, कमजोर होना"
6814,Fade,"निस्तेजना, कम होना, रंग उड़ जाना, धुंधला पड़ जाना"
6815,Fade in,"साफ होना, तेज होना, मंद होना"
6816,Fade in,फेड-इन
6817,Fade out,"तेज होना, मंद होना"
6818,Fade out,फेड-आउट
6819,Faecal,विष्ठा संबंधी
6820,Faeces,विष्ठा
6821,Fag end,"सिगरेट का शेष भागा, अंतिम भाग, अंत"
6822,Fag,समलैंगिक पुरुष
6823,Fail,"असफल होना, निराश करना, विनष्ट होना, दिवालिया करना, दिवाला निकलना, अनुत्तीर्ण होना, अभाव होना, अपर्याप्त होना, अनुत्तीर्ण होना, हताश करना, अभाव होना, कमी होना, साथ छोड़ना, असफल होना, अनुत्तीर्ण होना, अनुत्तीर्ण करना, अभाव होना, अनुत्तीर्ण होना, अनुत्तीर्ण होना"
6824,Fail safe,सुरक्षित
6825,Failure,"असफलता, खराबी, असफल व्यक्ति, हार, दिवाला, गिरावट, गिरना, असफलता, चूक, चूक"
6826,Faint,"बेहोश होना, धीमी, मूर्च्छित, बेहोश होकर गिर पढना, बेहोश, भीरुता, बेहोश होना, मुर्छिट होना, अस्पष्ट, धीमी, मंद, धुँधला, चकराया हुआ, बुज़दिल, हल्की, ढीली"
6827,Faint hearted,डरपोक
6828,Fair,"मेला, न्याय संगत, अच्छा बनाना, सीधा करना, अच्छा बनाना, संतोषजनक, अनुकूल, उचित, फेयर, मेला, मेला, न्याय से, निष्पक्ष, मेला, मेला, मेला, नुमाइश, अच्छा बनाना, काफी, मेला, सीधा, नम्र, सीधा, खूबसूरत, अनुकूल, अनुकूल"
6829,Fair dos,बेईमानी नहीं!
6830,Fair enough,ठीक है
6831,Fair game,"आलोचना योग्य व्यक्ति, निष्कपट"
6832,Fairground,"कृरि मेला, मेले का मैदान, व्यापार मेला"
6833,Fair haired,"पसंदीदा, भूरे बालों वाला"
6834,Fairly,"कामचलाऊ ढंग से, काफी हद तक, ठीक से, पूरी तरह से"
6835,Fair minded,निष्पक्ष
6836,Fair play,न्यायपूर्ण व्यवहार
6837,Fairy,"समलैंगिक पुरुष, परी, परी जैसी, परी, परी"
6838,Fairy cake,फेरी केक
6839,Fairy godmother,कृपाकु वय्क्ति
6840,Fairyland,"सुंदर और मजेदार जगह, परीलोक"
6841,Fairy lights,थोड़ा रंगीन प्रकाश
6842,Fairy story,"जूठी कहानी, परी कथा"
6843,Fairy tale,"काल्पनिक कथा, परी कथा, सुखद"
6844,Faith,"विश्वास, भरोसा, धर्म, विश्वास, यकीन, विचारधारा, विचारधारा"
6845,Faithful,"भरोसेमंद, भरोसेमंद, ईमानदार, इमानदार, सच्चा, निष्ठावान, इमानदार, आस्तिक, हूबहू"
6846,Faithfully,"विश्वसनीय ढंग से, विश्वसनीय, ईमानदारी से, ध्यान से"
6847,Faith healing,ईश्वर-विश्वास से चिकित्सा
6848,Fake,"ढोंग करना, नाटक करना, नकली वस्तु, नकली, बनावटी, नकली, ढोंगी, नकल"
6849,Falcon,बाज
6850,Falco peregrinus,बहरी
6851,Fall about,हँसते हँसते नियंट्रणा खो देना
6852,Fall,"गिर पड़ना, पतन, के हिस्से में आना, पड़ना, बरसना, गिर पड़ना, पड़ना, पछाड़ खाना, शरद ऋतु, उलट जाना, शरदृतु, ढलान, समर्पन करना, पतन, पतन, भ्रष्ट होना, लड़खड़ा कर गिरना, बरबाद होना, पतन, शरद् ऋतु, टोपी आदि के पीछे से लटकता कपड़ा, कम पड़ना, झालर, गिरना, गेहराई, गिराव, नष्ट होना, विनाश, उतरना, घटना, कम होना, भ्रष्ट होना, पड़ना, पतझड़, गिर पड़ना, सहमत होना, मानना, पड़ना, पड़ना, पड़ना, झरना, ढलाव, गिरावट, पतन, धस जानाना, पड़नाअना, शरत्कालीन, शरद ऋतु, पतझड़, निकलना, सतित्व खोना, कम होना, बिगड़ना, खराब होना, उतरना, धिमा होना, मंद होना, घटना, गिरना, गिरना, घटना"
6853,Fall apart,"रुकना, टुकड़े टुकड़े होना"
6854,Fall away,"छोड़ना, दूर होना, कम होना"
6855,Fall back,"पुनः पतन होना, मैदान छोड़ना, भाव गिरना"
6856,Fall back,तैयार
6857,Fall behind,पिछड़ना
6858,Fall down,गलत साबित करना
6859,Fall flat,असफल होना
6860,Fall for,"विश्वास कर लेना, मुग्ध होना"
6861,Fall guy,"भोला-भाला व्यक्ति, बलि का बकरा, धोखे का शिकार"
6862,Falling star,उल्का
6863,Fall in,पंक्तिबद्ध होना
6864,Fall into,में बँटना
6865,Fall off,कम होना
6866,Fall off,कमी
6867,Fall on,"लादना, टूट पड़ना, डालना, उपड़ पड़ना, आक्रमण करना"
6868,Fallopian tube,डिम्बवाही नली
6869,Fall out,"विच्छेद, झगड़ना, छोड़ना, झड़ना"
6870,Fall over,गिर पड़ना
6871,Fall sick,बीमार होना
6872,Fall through,असफल होना
6873,Fall to,"कर्तव्य होना, प्रारम्भ करना"
6874,Fall upon,"टूट पड़ना, आक्रमण करना"
6875,Fall victim,"पीड़ित होना, नष्ट होना"
6876,False alarm,झूठी चेतावनी
6877,Falsehood,"झूठ, असत्यता"
6878,False move,गलत कदम
6879,False start,"दौड़ का नियमविरुद्ध प्रारम्भ, असफल शुरूआत"
6880,Falter,"डगमगाना, लड़खड़ाना, हिचक"
6881,Fame,"कीर्ति, ख्याति, नाम, सुकीर्ति, जनश्रुति, मान, प्रसिद्धि, प्रतिष्ठा"
6882,Familial,"पारिवारिक, कौटुंबिक"
6883,Familiar,"परिचित, परिचित, घनिष्ठ, अन्तरंग मित्र, परिचित, शिष्ठाचार के विरुद्ध, प्रचलित, साधारण, परिचित"
6884,Familiarisation,अभिज्ञता
6885,Familiarise,"जानना, जानकारी पाना, परिचित होना"
6886,Familiarization,अभिज्ञता
6887,Familiarize,"जानना, जानकारी पाना, परिचित होना"
6888,Familiarize with,"जानकारी देना, सुपरिचित बनाना"
6889,Family credit,दैनिक भत्ता
6890,Family,"परिवार, परिवार, वर्ग का उपविभाग, कुटुम्ब, वर्ग, सहलक्षणीय, जाति, माफिया परिवार, कुल, औलाद"
6891,Family man,गृहस्थ
6892,Family planning,परिवार नियोजन
6893,Family tree,वंश-वृक्ष
6894,Famine,अकाल
6895,Famous,"मशहूर, विख्यात, प्रसिद्ध, विख्यात, उत्कृष्ट"
6896,Fan belt,पंखे की पेटी
6897,Fan club,प्रशंसक क्लब
6898,Fancy,"पसन्द करना, अनोखा, बहुत बढिया, भावना, कल्पना करना, सोचना, पसन्द करना, अभिरुचि, चाहना, कल्पना करना, काल्पनिक, शृंगारयुक्त, विचिट्र, महँगा, कोई विशेष गुण के लिये उगाया हुआ, कोई विशेष गुण के लिये पाला गया"
6899,Fancy free,अनासक्त्त
6900,Fancy man,दलाला
6901,Fan,"फटकना, पंखा, उत्तेजित करना, पंखा चलाना, प्रशंसक"
6902,Fan mail,प्रशंसक पत्र
6903,Fantasise,सपना देखना
6904,Fantasize,सपना देखना
6905,Fantastic,"असाधारण, शानदार, अति काल्पनिक, अत्यधिक, बहुत अच्छा"
6906,Fantasy,"स्वैर कल्पना, कल्पना, ख्वाब"
6907,Far afield,घर से दूर
6908,Far,"दूर, दूर, अति, दूर"
6909,Far away,दूरवर्ती
6910,Farce,"प्रहसन, तमाशा"
6911,Fare,"सवारी, भोजन, सफल रहना, किराया, भाड़ा"
6912,Farewell,"बिदाई, विदाई"
6913,Far fetched,"अवास्तविक, क्लिष्ट-कल्पित"
6914,Far flung,"व्यापक, सुदूरवर्ती, दूर"
6915,Far from,"से कोसों दूर, के बदले"
6916,Far gone,"अत्यधिक बीमार, अत्यधिक पिया हुआ"
6917,Farm,"खेत, फ़ार्म, खेत, खेत, कृषिभूमि, खेत जोतना"
6918,Farmer,"किसान, किसान"
6919,Farm hand,कृषि श्रमिक
6920,Farmhouse,फार्महाउस
6921,Farming,कृषि
6922,Farm out,"ठेके पर देना, पालन पोषण का जिम्मा सौंपना"
6923,Farmstead,मकानों से युक्त खेत
6924,Far off,दूरवर्ती
6925,Far reaching,व्यापक
6926,Far seeing,दूरदर्शी
6927,Far sighted,"भविष्यगामी, दूर का देखने वाला, दूरदर्शी"
6928,Fart about,समय गँवाना
6929,Fart around,समय गँवाना
6930,Farther afield,घर से दूर
6931,Farther,"अधिक, और आगे"
6932,Farthest,"सुदूरतम, सबसे दूर तक"
6933,Farthing,दमड़ी
6934,Fascinating,"दिलचस्प, आकर्षक"
6935,Fascism,फासिस्टवाद
6936,Fashionable,"लोकाचारानुरूप, आधुनिक प्रणाली के अनुकूल, उच्च श्रेनी क मनुष्य, प्रचलित रीति क अनुयायि, शोभाचारी, प्रचलित, आधुनिक प्रणाली का, शोभाचारी"
6937,Fashion,"फैशन, आकृति देना, तैयार करना, सजधज, बनावट, आचरण, भूषाचारअ, रूप देना, रीति, शोभाचार"
6938,Fast,"तेज, तेज़, उपवास के लिये निर्धारित समय, जल्दि से, शीघ्र, उपवास, उपवास करना, अनाहार रहना, उपवास के लिये निऋधारित दिन, जल्दी, तेज चलनेवाला, असंयमी, शीघ्रतापूर्वक, तेज, तेज, तुरंत, दुश्चरित्र, तीव्रगामी, पक्का"
6939,Fast breeder,फास्ट ब्रीडर
6940,Fasten,"बान्धना, बन्द करना, ताला लगाना, कड़ी लगाना, कसना, चिपकाना, बान्धना, मजबूत करना, बान्धना, अटकाना, गड़ाना, निर्धारित करना, थोपना"
6941,Fastener,"बंधन, कसनी"
6942,Fastening,"बंधन, कसनी"
6943,Fasten on,थोपना
6944,Fasten onto,ग्रहण करना
6945,Fast food,फ़ास्ट फ़ूड
6946,Fast forward,"फ़ास्ट फॉर्वर्ड करना, फ़ास्ट फॉर्वर्ड"
6947,Fatal,"जानलेवा, घातक"
